n,mse
64000000,0.0017462865377442
58237490,0.0017477391246225
52993832,0.001749335511922
48222309,0.0017510899655417
43880410,0.0017530181739664
39929452,0.0017551373930784
36334236,0.0017574666048136
33062730,0.0017600266959945
30085788,0.0017628406507175
27376887,0.0017659337711191
24911893,0.0017693339163795
22668846,0.0017730717723651
20627761,0.001777181160111
18770454,0.0017816993724442
17080377,0.0017866675703401
15542473,0.0017921312285027
14143041,0.0017981406658045
12869613,0.0018047516799246
11710843,0.0018120263021346
10656408,0.0018200336193874
9696913,0.0018288504522423
8823811,0.0018385609886506
8029321,0.0018492544134427
7306368,0.0018610219972066
6648508,0.0018739607191844
6049882,0.0018881825017045
5505155,0.0019038191069353
5009475,0.0019210206139903
4558426,0.0019399541183646
4147989,0.0019608045075825
3774507,0.0019837766415304
3434653,0.0020090982779341
3125400,0.002037023688042
2843991,0.0020678385639911
2587920,0.0021018661153178
2354906,0.0021394804767471
2142872,0.0021811412093215
1949930,0.0022272619995948
1774359,0.0022781036990033
1614597,0.0023343179023116
1469220,0.0023966219183462
1336933,0.002465779000889
1216556,0.0025426071594529
1107019,0.0026279930669848
1007343,0.0027229476782009
916643,0.0028286466932487
834109,0.0029465918145632
759007,0.0030787451488736
690666,0.0032258632969066
628479,0.0033898788520723
571891,0.0035731672692769
520399,0.0037783602059497
473542,0.0040082824236904
430905,0.0042684677086815
392106,0.0045609576887275
356801,0.0048853744524079
324675,0.0052465767366973
295442,0.0056527380775548
268840,0.006105673450065
244634,0.0066114864153652
222607,0.0071763255700263
202564,0.00781137338522
184325,0.0085187207289378
167729,0.0093130905820442
152626,0.0102094438680251
138884,0.0112261696567401
126379,0.0123943921254363
115000,0.0137025944369735
104645,0.0151891711153226
95223,0.0168901101505272
86649,0.0188521656049218
78847,0.0211243131516489
71748,0.0237646648348661
65288,0.0268603310473922
59409,0.0305260948762835
54060,0.0349229482068609
49193,0.0402444603203551
44763,0.0467719685485099
40733,0.0548952607313399
37065,0.0650957131239537
33728,0.0781427823929912
30691,0.094637861272947
27927,0.1147239575349841
25413,0.1358496897455663
23125,0.1522721793934593
21042,0.1515351498275619
19148,0.1380243547136395
17424,0.1224760452922406
15855,0.1098386551557244
14427,0.1008483575374266
13128,0.0950241713311781
11946,0.0917495252940119
10870,0.0907012184889479
9892,0.0913713767008901
9001,0.0928073782826313
8190,0.0972180643606992
7453,0.1021324537760421
6782,0.1085961659502787
6171,0.1163124196179572
5615,0.1254771249247981
5110,0.1360821207013183
4650,0.1483400467292546
4231,0.1623399823149087
3850,0.1779774436721699
3503,0.1953369334956811
3188,0.2144620472805674
2901,0.2355611962606383
2640,0.2587716074891912
2402,0.2842104731564572
2186,0.3117700648381534
1989,0.3416400927227609
1810,0.3736058052796993
1647,0.4078228146106396
1498,0.4442408993442036
1363,0.4823745128196379
1241,0.5218627494393332
1129,0.5631848744657248
1027,0.6055471975394481
935,0.6480522844851171
850,0.6914615443169789
774,0.7335991983969663
704,0.7751588401939203
641,0.8143112908979893
583,0.8513857009699385
530,0.8853535958016477
483,0.914682971780283
439,0.9407120488081552
400,0.9619059320834308
