n,mse_mean,mse_std
400.0,1.2508686065673829,0.0510663604736327
728.0,1.2862599182128909,0.0012135314941406
1325.0,0.8418930053710938,0.0026329040527343
2413.0,0.4782726097106933,0.0036159324645996
4394.0,0.4240248489379883,0.0482083129882812
8000.0,0.1030311346054077,0.0003486394882202
14564.0,0.0453125476837158,0.0001213026046752
26515.0,0.0336513817310333,0.0002102053165435
48273.0,0.0290986633300781,3.483057022094643e-05
87884.0,0.026627402305603,3.2801628112793385e-05
160000.0,0.0254449486732482,2.4955272674561865e-05
291290.0,0.0248026573657989,1.4275312423706056e-05
530312.0,0.0244765317440032,2.604722976685264e-06
965468.0,0.0242892980575561,1.530647277831615e-06
1757696.0,0.0241877698898315,3.2854080200192537e-06
3200000.0,0.0241356408596038,1.929998397827426e-06
