n,mse
64000000,0.0001134561359623
58237490,0.0001191334492711
52993832,0.000125274379102
48222309,0.000131914299297
43880410,0.0001390983426186
39929452,0.0001468711538907
36334236,0.0001552836248048
33062730,0.0001643928662442
30085788,0.0001742614094666
27376887,0.0001849338206862
24911893,0.0001964904601432
22668846,0.0002090124672513
20627761,0.0002225868779117
18770454,0.0002372924630766
17080377,0.0002532408470685
15542473,0.0002705478488118
14143041,0.0002893230577289
12869613,0.0003097025049569
11710843,0.0003318271242958
10656408,0.0003558570660537
9696913,0.0003819657664649
8823811,0.0004103426174275
8029321,0.0004411931915195
7306368,0.0004747479498743
6648508,0.0005112632732955
6049882,0.0005510214851971
5505155,0.000594314698785
5009475,0.000641469033098
4558426,0.0006928751223294
4147989,0.0007489108105995
3774507,0.0008100326623159
3434653,0.0008767344761821
3125400,0.0009495555045935
2843991,0.001029101875162
2587920,0.0011160253532038
2354906,0.001211067623998
2142872,0.0013150375125392
1949930,0.0014288370838326
1774359,0.0015534668696837
1614597,0.0016899617461536
1469220,0.001839314857543
1336933,0.0020027751473346
1216556,0.0021817988828412
1107019,0.0023780361601619
1007343,0.0025933051478665
916643,0.0028296358316342
834109,0.0030893415264343
759007,0.0033750557061442
690666,0.0036897117831153
628479,0.0040365302275799
571891,0.0044193933294311
520399,0.0048425625399597
473542,0.0053110296904623
430905,0.005830474937988
392106,0.0064074033482153
356801,0.0070493034676706
324675,0.0077649661999938
295442,0.0085646425896186
268840,0.0094605107806684
244634,0.0104666435694271
222607,0.0115999125340386
202564,0.0128803506661727
184325,0.0143323311767165
167729,0.0159848073790453
152626,0.0178737589834885
138884,0.0200425207604819
126379,0.0225447087916976
115000,0.0254462867174116
104645,0.028828568263447
95223,0.0327895984515775
86649,0.037447189583422
78847,0.0429312936456969
71748,0.0493648668144517
65288,0.056806594308256
59409,0.0651085957200241
54060,0.073644497608325
49193,0.0809910511546774
44763,0.0851114937289254
40733,0.0848310767115669
37065,0.0811557256028772
33728,0.0762284275939408
30691,0.071504273494086
27927,0.0676185262715312
25413,0.0647335759710774
23125,0.0627875030495999
21042,0.06175005641328
19148,0.0614816149659043
17424,0.0619783283432675
15855,0.0632088497134324
14427,0.065093743696732
13128,0.0675991539684781
11946,0.0707934617077163
10870,0.0746748588555104
9892,0.0792481614697928
9001,0.0845907326993533
8190,0.0907227917040791
7453,0.0976976558841817
6782,0.1055982882499753
6171,0.1145033241725805
5615,0.1245139564118611
5110,0.1357532838884074
4650,0.1482966130083638
4231,0.1623399819584905
3850,0.1779774436721688
3503,0.1953369334956796
3188,0.2144620472805676
2901,0.2355611962606378
2640,0.2587716074891912
2402,0.2842104731564561
2186,0.3117700648381523
1989,0.3416400927227645
1810,0.3736058052796998
1647,0.4078228146106383
1498,0.4442408993442039
1363,0.4823745128196379
1241,0.5218627494393331
1129,0.563184874465726
1027,0.6055471975394514
935,0.648052284485118
850,0.6914615443169834
774,0.7335991983969666
704,0.7751588401939216
641,0.8143112908979893
583,0.8513857009699415
530,0.8853535958016487
483,0.9146829717802976
439,0.9407120488081544
400,0.961905932083258
