rank,mse_mean,mse_std
800.0,0.1007791233062744,0.0029219341278076
512.0,0.1041295576095581,0.0017665719985961
328.0,0.0996794748306274,0.0023233556747436
210.0,0.0999532651901245,0.001152958869934
135.0,0.1008658838272094,0.0002588415145874
86.0,0.0987183189392089,0.0006378459930419
55.0,0.1003957271575927,0.000939302444458
35.0,0.1110761260986328,0.0001876926422119
23.0,0.1337010383605957,0.0023743820190429
14.0,0.1788029956817627,0.0001349544525146
9.0,0.1220594596862792,0.0013237953186035
6.0,0.0782442855834961,0.0007581710815429
4.0,0.0832593202590942,0.0008340406417846
2.0,0.1451852846145629,0.0002547979354858
1.0,0.273447322845459,0.0025225639343261
