rank,mse
400,0.0283757762319003
391,0.028375776231881
382,0.0283757762318814
373,0.0283757762318814
364,0.0283757762318814
356,0.0283757762318814
348,0.0283757762318814
340,0.0283757762318814
332,0.0283757762318814
324,0.0283757762318814
317,0.0283757762318814
309,0.0283757762318814
302,0.0283757762318812
295,0.0283757762318812
288,0.028375776231881
282,0.028375776231881
275,0.028375776231881
269,0.028375776231881
262,0.0283757762318812
256,0.028375776231881
250,0.028375776231881
245,0.0283757762318812
239,0.028375776231881
233,0.0283757762318812
228,0.0283757762318812
223,0.0283757762318812
218,0.0283757762318812
213,0.0283757762318812
208,0.0283757762318812
203,0.0283757762318812
198,0.0283759740482518
194,0.0283829880438486
189,0.0284068519781954
185,0.028441063420306
180,0.028489062929206
176,0.0285290900287447
172,0.0285817440190112
168,0.0286215907659035
164,0.0286686082890246
161,0.0286865227038055
157,0.028725066425711
153,0.0287560038471286
150,0.0287610856618343
146,0.0287683873802762
143,0.0287885449402738
140,0.028769096205641
136,0.0287518721203339
133,0.0287125813133621
130,0.0286710294540311
127,0.0286001321379767
124,0.0285171485552591
121,0.0284389393112742
118,0.0283303518952784
116,0.0282709409006527
113,0.0281158814952431
110,0.0279546162418709
108,0.027856640687575
105,0.0276636949018092
103,0.0275182002311253
101,0.0273651458992769
98,0.0271221284111038
96,0.0269282826578027
94,0.0267516426374136
92,0.0265218692775139
89,0.0262060627248852
87,0.02598461397851
85,0.0257063384677991
83,0.0254636260854894
81,0.025193002515315
80,0.0250497481913152
78,0.0247539387812212
76,0.024450762807388
74,0.0241206130703799
72,0.023789824070223
71,0.0236152822367499
69,0.0232701811627507
68,0.0230803396324423
66,0.0226988706380792
64,0.0223161241945182
63,0.0221099970761584
62,0.0219045256975531
60,0.0214948058940447
59,0.021272997221287
57,0.0208473847089396
56,0.0206086708295034
55,0.0203838045906241
53,0.0199151614580013
52,0.0196887388251407
51,0.0194408510361052
50,0.0191977630285546
49,0.0189446980736118
48,0.0186953941671184
46,0.0181840981310805
45,0.0179391291503325
44,0.0176777579320448
43,0.017411975466292
42,0.0171417472198422
41,0.0168688726703447
40,0.0165858047366838
39,0.016315388119301
38,0.0160403854605253
37,0.0157677121668786
36,0.0154727855114047
35,0.01519338796767
34,0.0149072524880138
33,0.014634542076656
32,0.0143352546735173
31,0.0140381421540405
30,0.0137555329333192
29,0.0134909065830646
28,0.013226527640046
27,0.0129580896507974
26,0.012703460064289
25,0.0124744778695429
24,0.0122518267300191
23,0.0120516348879538
22,0.0119377016812851
21,0.0118035661533868
20,0.0117371670179136
19,0.011763371264613
18,0.0118533694937605
17,0.0120299799833327
16,0.0123137491475762
15,0.0127093902773056
14,0.0132546838960578
13,0.0139786830274901
12,0.0149197514064221
11,0.0161283358433788
10,0.0177395663771684
9,0.019857444732156
8,0.0226929761603715
7,0.0265885981800211
6,0.0321400130945184
5,0.0404077272467273
4,0.0535513275946222
3,0.0766716368965101
2,0.1243398787026373
1,0.2558999387694041
