rank,mse
1,0.0760615988684028
2,0.0183154508617036
3,0.0069088061522224
4,0.0032996740411364
5,0.0018213748071278
6,0.0011084616972449
7,0.0007236498637688
8,0.0004980812186177
10,0.0002648690637994
11,0.0002017650197838
13,0.0001248627500527
14,0.000100814151611
17,5.74097726395717e-05
19,4.1523146814714806e-05
22,2.706032418098303e-05
25,1.8615240864772176e-05
28,1.3358343730285329e-05
32,9.038704021913093e-06
37,5.920383359558912e-06
42,4.104052444553474e-06
48,2.8052177558635094e-06
55,1.922412839139298e-06
63,1.3408404455628189e-06
72,9.646989411749018e-07
82,7.251138347541541e-07
94,5.647555745280641e-07
108,4.672682927253647e-07
123,4.144990413124106e-07
141,3.8844722416442323e-07
161,3.805173933724149e-07
184,3.804472039625751e-07
210,3.804472039625751e-07
240,3.804472039625751e-07
275,3.804472039625751e-07
314,3.804472039625751e-07
359,3.804472039625751e-07
410,3.804472039625751e-07
414,3.804472037405304e-07
428,3.804472037405304e-07
443,3.804472037405304e-07
458,3.804472037405304e-07
469,3.804472039625751e-07
474,3.804472037405304e-07
490,3.804472037405304e-07
507,3.804472037405304e-07
524,3.804472037405304e-07
536,3.804472039625751e-07
542,3.804472037405304e-07
561,3.804472037405304e-07
580,3.804472039625751e-07
600,3.804472039625751e-07
612,3.804472039625751e-07
621,3.804472039625751e-07
642,3.804472039625751e-07
664,3.804472039625751e-07
687,3.804472039625751e-07
700,3.804472037405304e-07
711,3.804472039625751e-07
735,3.804472039625751e-07
761,3.804472039625751e-07
787,3.804472037405304e-07
800,3.804472037405304e-07
814,3.804472037405304e-07
842,3.804472037405304e-07
871,3.804472037405304e-07
901,3.804472037405304e-07
914,3.804472037405304e-07
932,3.804472037405304e-07
964,3.804472037405304e-07
997,3.804472037405304e-07
1032,3.804472037405304e-07
1045,3.804472037405304e-07
1067,3.804472037405304e-07
1104,3.804472037405304e-07
1142,3.804472037405304e-07
1181,3.804472037405304e-07
1195,3.804472037405304e-07
1222,3.804472037405304e-07
1264,3.804472037405304e-07
1307,3.804472037405304e-07
1352,3.804472037405304e-07
1366,3.804472037405304e-07
1399,3.804472037405304e-07
1447,3.804472037405304e-07
1497,3.804472037405304e-07
1548,3.804472037405304e-07
1561,3.804472037405304e-07
1601,3.804472037405304e-07
1657,3.804472037405304e-07
1714,3.804472037405304e-07
1773,3.804472037405304e-07
1784,3.804472037405304e-07
1834,3.804472037405304e-07
1897,3.804472037405304e-07
1962,3.804472037405304e-07
2029,3.804472037405304e-07
2039,3.804472037405304e-07
2099,3.804472037405304e-07
2172,3.804472037405304e-07
2246,3.804472037405304e-07
2324,3.804472037405304e-07
2331,3.804472037405304e-07
2404,3.804472037405304e-07
2486,3.804472037405304e-07
2572,3.804472037405304e-07
2660,3.804472037405304e-07
2665,3.804472037405304e-07
2752,3.804472037405304e-07
2847,3.804472037405304e-07
2945,3.804472037405304e-07
3046,3.804472037405304e-07
