n,mse
64000000,0.0009654652742627
58237490,0.0009676131872418
52993832,0.0009699746634652
48222309,0.0009725710174159
43880410,0.0009754256931424
39929452,0.0009785644882027
36334236,0.0009820158089579
33062730,0.0009858109558513
30085788,0.0009899844273115
27376887,0.0009945742589687
24911893,0.0009996223903627
22668846,0.0010051750709181
20627761,0.0010112833112438
18770454,0.0010180033585456
17080377,0.0010253972785234
15542473,0.0010335337002367
14143041,0.0010424887981932
12869613,0.0010523474059387
11710843,0.0010632040607954
10656408,0.0010751638510901
9696913,0.0010883432538566
8823811,0.0011028712821794
8029321,0.0011188917183266
7306368,0.0011365661541036
6648508,0.0011560782072208
6049882,0.0011776323291272
5505155,0.0012014326958598
5009475,0.001227692672362
4558426,0.0012566806978335
4147989,0.0012887118164175
3774507,0.0013241850185716
3434653,0.0013635075750688
3125400,0.0014068663389514
2843991,0.0014549969134933
2587920,0.0015083078760722
2354906,0.001567327786113
2142872,0.0016327827049518
1949930,0.0017054087040591
1774359,0.0017858635186238
1614597,0.0018753842378704
1469220,0.0019742589794335
1336933,0.0020836007551079
1216556,0.0022045243577017
1107019,0.0023388929113741
1007343,0.0024863374578389
916643,0.0026496721977831
834109,0.0028301874204621
759007,0.0030287825242381
690666,0.00324821065582
628479,0.0034903095527201
571891,0.0037581978518461
520399,0.0040548411115746
473542,0.0043833084107158
430905,0.0047484498399159
392106,0.0051533395740566
356801,0.0056004806844658
324675,0.0060971639749007
295442,0.0066502531112904
268840,0.0072655619730404
244634,0.0079508773758678
222607,0.008719042005189
202564,0.0095826258117517
184325,0.0105552104838873
167729,0.0116508748576016
152626,0.0128890650168671
138884,0.0142988007370599
126379,0.0159026771192298
115000,0.0177425754239037
104645,0.0198662900340305
95223,0.0223343162350078
86649,0.0252115884480452
78847,0.028601444090311
71748,0.0326168474595001
65288,0.0374113237079225
59409,0.0432496137001254
54060,0.050365476963426
49193,0.0591030985697922
44763,0.0699248319760552
40733,0.0831783757387452
37065,0.0987284397311472
33728,0.1142017830300572
30691,0.1243851783405405
27927,0.1230624426212179
25413,0.1132970618551294
23125,0.1012944273815554
21042,0.0909629111398888
19148,0.0832279362966548
17424,0.0779169475481034
15855,0.0746447769846925
14427,0.0730917122413261
13128,0.0730017263761433
11946,0.0742025215389832
10870,0.0765971977820989
9892,0.0801477906738377
9001,0.084850424420384
8190,0.0907254509434705
7453,0.0976976558849713
6782,0.1055982882499757
6171,0.1145033241725805
5615,0.1245139564118604
5110,0.1357532838884079
4650,0.1482966130083647
4231,0.1623399819584894
3850,0.1779774436721679
3503,0.19533693349568
3188,0.2144620472805674
2901,0.2355611962606376
2640,0.2587716074891912
2402,0.2842104731564583
2186,0.3117700648381507
1989,0.3416400927227623
1810,0.3736058052796986
1647,0.4078228146106346
1498,0.4442408993442026
1363,0.4823745128196378
1241,0.5218627494393333
1129,0.563184874465725
1027,0.6055471975394459
935,0.6480522844851176
850,0.6914615443169827
774,0.7335991983969663
704,0.7751588401939198
641,0.8143112908979866
583,0.851385700969938
530,0.8853535958016483
483,0.9146829717803012
439,0.9407120488081528
400,0.9619059320833684
