n,mse
64000000,0.1227298592789545
58237490,0.1227300768170283
52993832,0.1227303158780181
48222309,0.1227305785916696
43880410,0.1227308672973499
39929452,0.1227311845675132
36334236,0.1227315332283032
33062730,0.122731916384458
30085788,0.1227323374497995
27376887,0.1227328001744638
24911893,0.122733308679269
22668846,0.1227338674954121
20627761,0.1227344815990851
18770454,0.1227351564607248
17080377,0.1227358980913013
15542473,0.122736713097505
14143041,0.1227376087381257
12869613,0.1227385929916138
11710843,0.122739674625603
10656408,0.1227408632747144
9696913,0.1227421695285972
8823811,0.1227436050207742
8029321,0.1227451825442069
7306368,0.1227469161455241
6648508,0.1227488212763008
6049882,0.122750914904067
5505155,0.1227532156887687
5009475,0.1227557441270774
4558426,0.1227585227477854
4147989,0.1227615763148262
3774507,0.1227649320453914
3434653,0.1227686198461111
3125400,0.1227726725773634
2843991,0.1227771263924639
2587920,0.1227820209865939
2354906,0.1227873999941069
2142872,0.1227933114108872
1949930,0.1227998079357968
1774359,0.1228069476076021
1614597,0.122814794058121
1469220,0.1228234173462856
1336933,0.1228328944456982
1216556,0.1228433101180885
1107019,0.122854757198624
1007343,0.1228673383399285
916643,0.1228811656680504
834109,0.122896363152039
759007,0.1229130665683497
690666,0.1229314259708935
628479,0.1229516054310204
571891,0.1229737862126738
520399,0.1229981668731969
473542,0.123024967577366
430905,0.1230544279518799
392106,0.1230868147015635
356801,0.123122418437567
324675,0.1231615607412912
295442,0.1232045949043745
268840,0.1232519131408844
244634,0.1233039411721403
222607,0.1233611545400397
202564,0.123424070845455
184325,0.1234932689455621
167729,0.1235693763186993
152626,0.1236531023058327
138884,0.1237452039441324
126379,0.1238465414997342
115000,0.1239580524721304
104645,0.1240807837049433
95223,0.1242158691041075
86649,0.1243645943115197
78847,0.1245283623909201
71748,0.1247087195042844
65288,0.1249074126093998
59409,0.1251263843492636
54060,0.1253677179943522
49193,0.1256337897078405
44763,0.1259273489111179
40733,0.1262511838517941
37065,0.1266087546483001
33728,0.1270035886337224
30691,0.1274399621702109
27927,0.1279225533586734
25413,0.1284562698922888
23125,0.1290473013014534
21042,0.129702592802483
19148,0.1304288682540331
17424,0.1312354597105924
15855,0.1321321530547203
14427,0.133130356337825
13128,0.1342425475872233
11946,0.1354840331041602
10870,0.1368729670378483
9892,0.1384274790263033
9001,0.1401753219593284
8190,0.1421441285459048
7453,0.1443645545496708
6782,0.146881602349213
6171,0.1497466991499711
5615,0.1530205799252453
5110,0.1567731819821431
4650,0.1611124618249009
4231,0.1661672139617278
3850,0.1720959309620022
3503,0.1791333695897277
3188,0.1875651046691184
2901,0.1978658552830952
2640,0.2106883110881854
2402,0.2271469626441116
2186,0.2490061258236819
1989,0.279959686448179
1810,0.3283824810949864
1647,0.4257977882786574
1498,0.866252414033847
1363,1.0264151023493773
1241,0.9665845355639532
1129,0.6850051629583769
1027,0.8471399302727487
935,0.8205457594310664
850,0.8084188976920688
774,0.8239347270040902
704,0.8745553834542571
641,0.9202681404546786
583,0.9712492682545816
530,1.0222963714198163
483,1.063865186052389
439,1.0906938816947254
400,1.1294278663924413
