rank,mse
1,0.2545423494348586
2,0.1227628112679322
3,0.0749416827590876
4,0.0516461333630209
5,0.0383109836609596
6,0.0298573245180402
7,0.0241071938323347
8,0.0199890854448205
10,0.0145640188931308
11,0.0127064678678006
13,0.0099886730875042
14,0.0089721859000486
17,0.0067631507069525
19,0.0057471138241387
22,0.0046331538345867
25,0.0038366023668643
28,0.0032438561277132
32,0.002660029664252
37,0.0021420387342518
42,0.0017716920273449
48,0.0014494298387766
55,0.0011800882172838
63,0.0009602984154952
72,0.0007832515791195
82,0.0006414395916525
94,0.0005192469286308
108,0.000418030289379
123,0.0003404380957214
141,0.00027363349967
161,0.0002205690122238
184,0.0001767854940493
210,0.0001412638069209
240,0.0001118545495251
275,8.73666459060285e-05
314,6.787862950319301e-05
359,5.1781105400605654e-05
410,3.873457774794531e-05
414,3.7880685698876704e-05
428,3.50474352894814e-05
443,3.2260565702824096e-05
458,2.970176083372245e-05
469,2.7955944516433465e-05
474,2.719658028671468e-05
490,2.48956750981133e-05
507,2.2650229147380685e-05
524,2.0587565882079772e-05
536,1.9231720109758044e-05
542,1.858071096649816e-05
561,1.6637909776573423e-05
580,1.4854422141663548e-05
600,1.3131674913235967e-05
612,1.2166695742665825e-05
621,1.1472865974804236e-05
642,9.949839437028984e-06
664,8.485231060673115e-06
687,7.0802041300943586e-06
700,6.337169010661725e-06
711,5.734679240365637e-06
735,4.500744638535892e-06
761,3.272134091458767e-06
787,2.143708555113477e-06
800,1.6120302344102555e-06
814,1.6120302344102555e-06
842,1.6120302344102555e-06
871,1.6120302344102555e-06
901,1.6120302344102555e-06
914,1.6120302344102555e-06
932,1.6120302344102555e-06
964,1.6120302344102555e-06
997,1.6120302344102555e-06
1032,1.6120302344102555e-06
1045,1.6120302344102555e-06
1067,1.6120302344102555e-06
1104,1.6120302344102555e-06
1142,1.6120302344102555e-06
1181,1.6120302344102555e-06
1195,1.6120302344102555e-06
1222,1.6120302344102555e-06
1264,1.6120302344102555e-06
1307,1.6120302344102555e-06
1352,1.6120302344102555e-06
1366,1.6120302344102555e-06
1399,1.6120302344102555e-06
1447,1.6120302344102555e-06
1497,1.6120302344102555e-06
1548,1.6120302344102555e-06
1561,1.6120302344102555e-06
1601,1.6120302344102555e-06
1657,1.6120302344102555e-06
1714,1.6120302344102555e-06
1773,1.6120302344102555e-06
1784,1.6120302344102555e-06
1834,1.6120302344102555e-06
1897,1.6120302344102555e-06
1962,1.6120302344102555e-06
2029,1.6120302344102555e-06
2039,1.6120302344102555e-06
2099,1.6120302344102555e-06
2172,1.6120302344102555e-06
2246,1.6120302344102555e-06
2324,1.6120302344102555e-06
2331,1.6120302344102555e-06
2404,1.6120302344102555e-06
2486,1.6120302344102555e-06
2572,1.6120302344102555e-06
2660,1.6120302344102555e-06
2665,1.6120302344102555e-06
2752,1.6120302344102555e-06
2847,1.6120302344102555e-06
2945,1.6120302344102555e-06
3046,1.6120302344102555e-06
