n,mse
64000000,0.0005562334390973
58237490,0.0005593315196767
52993832,0.0005627354023249
48222309,0.0005664762050787
43880410,0.0005705889695342
39929452,0.0005751129687621
36334236,0.0005800933855923
33062730,0.0005855817616782
30085788,0.0005916181839851
27376887,0.0005982553110441
24911893,0.0006055624301752
22668846,0.0006136002630312
20627761,0.0006224398122374
18770454,0.0006321752577314
17080377,0.0006429441753412
15542473,0.0006547650618975
14143041,0.0006677907366974
12869613,0.000682153154504
11710843,0.0006979778016282
10656408,0.0007154185428071
9696913,0.0007346616538901
8823811,0.0007559314201239
8029321,0.0007794385575936
7306368,0.000805361806982
6648508,0.000833873065408
6049882,0.0008653125142579
5505155,0.000900050633793
5009475,0.0009382098181425
4558426,0.0009803290938958
4147989,0.0010266765422004
3774507,0.0010776691500546
3434653,0.0011339079942138
3125400,0.0011957137021496
2843991,0.0012635036626607
2587920,0.0013378193802988
2354906,0.0014195105677878
2142872,0.0015089929943645
1949930,0.0016068121082064
1774359,0.0017140729822475
1614597,0.0018315422487689
1469220,0.0019600318125458
1336933,0.0021010083814139
1216556,0.0022558639764118
1107019,0.0024258495185347
1007343,0.0026127823983144
916643,0.002817466163117
834109,0.0030420773044368
759007,0.0032889371535747
690666,0.0035605119488097
628479,0.0038598024822553
571891,0.004190073794509
520399,0.004554324381724
473542,0.0049572705703169
430905,0.005403447435581
392106,0.0058994921694031
356801,0.0064494682888496
324675,0.007060305689069
295442,0.0077409906198697
268840,0.0085015270972006
244634,0.0093550160384046
222607,0.0103130046336112
202564,0.0113918227732194
184325,0.0126133693853718
167729,0.0139981363745906
152626,0.0155758289389003
138884,0.0173797000914532
126379,0.0194537166067763
115000,0.0218521630588108
104645,0.0246424810749847
95223,0.0279113503397971
86649,0.0317688965552891
78847,0.0363488676238494
71748,0.0418337218621533
65288,0.0484338092631351
59409,0.0564901786316101
54060,0.0661437047206825
49193,0.0775491938959453
44763,0.0902223237828523
40733,0.1015813918969517
37065,0.107355854210803
33728,0.1045379701737869
30691,0.0958403723185752
27927,0.086031325419108
25413,0.0776768286794757
23125,0.0714029714756445
21042,0.0671142264109023
19148,0.0645450466627381
17424,0.0634503641415886
15855,0.063688013186284
14427,0.065124875695645
13128,0.0675991539273115
11946,0.0707934617077166
10870,0.0746748588555106
9892,0.0792481614697941
9001,0.084590732699354
8190,0.0907227917040789
7453,0.0976976558841811
6782,0.1055982882499753
6171,0.1145033241725801
5615,0.1245139564118598
5110,0.1357532838884083
4650,0.148296613008364
4231,0.1623399819584898
3850,0.1779774436721675
3503,0.1953369334956831
3188,0.2144620472805669
2901,0.2355611962606381
2640,0.2587716074891915
2402,0.2842104731564554
2186,0.3117700648381509
1989,0.3416400927227647
1810,0.3736058052796993
1647,0.4078228146106363
1498,0.4442408993442023
1363,0.4823745128196393
1241,0.5218627494393328
1129,0.5631848744657265
1027,0.6055471975394591
935,0.6480522844851178
850,0.6914615443169807
774,0.733599198396966
704,0.775158840193916
641,0.8143112908979904
583,0.851385700969939
530,0.885353595801648
483,0.9146829717802925
439,0.9407120488081544
400,0.9619059320832744
