rank,mse_mean,mse_std
800.0,0.0077344033122062,8.444339036941563e-05
512.0,0.0077889910340309,2.247482538223237e-05
328.0,0.0077789404988288,2.207428216934211e-05
210.0,0.0077824050188064,3.816545009613023e-05
135.0,0.0079264393448829,2.8940737247466937e-05
86.0,0.0071380877494812,4.6223998069763305e-05
55.0,0.0060448622703552,4.053115844728297e-08
35.0,0.0053898322582244,4.3822526931762765e-05
23.0,0.0062682172656059,4.548728466034074e-06
14.0,0.0101403069496154,2.303123474121059e-05
9.0,0.0177417516708374,2.4528503417968125e-05
6.0,0.0305027556419372,8.366107940672995e-06
4.0,0.0522016024589538,6.229877471921469e-06
2.0,0.1232301092147827,1.970767974853599e-05
1.0,0.2549575233459472,3.8242340087896176e-05
