rank,mse
1,0.7841395780788593
2,0.7054993285063145
3,0.670460354679775
4,0.6575056540045154
5,0.6596321893212373
6,0.674360911333464
7,0.6946111491265115
8,0.7199818323936696
9,0.7435699913755935
10,0.7702703326724055
11,0.7964124739694745
12,0.8227639805412156
13,0.8474258712540034
14,0.8716491216990067
15,0.8980676379110398
16,0.9216972127095678
17,0.9454191584079172
18,0.9689863274516446
19,0.9888124344385669
20,1.0098284266492485
21,1.0263353415916447
22,1.0419504165031404
23,1.057203334228816
24,1.0729740451045293
25,1.0834673898475955
26,1.0958274456003687
27,1.1001517680096995
28,1.1105514390879334
29,1.1205651652828807
30,1.1224627805283034
32,1.1332729396782315
33,1.1336000059146774
34,1.1360251373856811
35,1.1312383543827405
36,1.1293747981126392
38,1.11864977166582
39,1.117288847408688
40,1.108349881283041
41,1.0920614804250457
42,1.0946617656221682
44,1.077734547541995
46,1.0604656960563146
48,1.0408566931768293
49,1.0335596800849491
50,1.0149194486024302
52,1.0008892122429756
55,0.9723495498618568
58,0.946993476928326
59,0.9390655780104352
60,0.9273655274053644
62,0.9121730000988648
63,0.9014475968096848
66,0.8755226387086359
69,0.8576554623494539
70,0.8526467196570928
72,0.8370007237483643
75,0.8206688149027661
76,0.8129340399880713
79,0.7976654516403199
83,0.7782270706624341
84,0.774780100207908
87,0.7623313672811676
89,0.7557259085661523
91,0.7476612132393361
95,0.7362958629158258
100,0.7245684097678811
101,0.722605565511472
107,0.7143687693955401
114,0.7095973231425508
121,0.7092197473572854
128,0.7092197473572854
136,0.7092197473572854
144,0.7092197473572854
153,0.7092197473572854
163,0.7092197473572854
173,0.7092197473572854
184,0.7092197473572854
195,0.7092197473572854
207,0.7092197473572854
220,0.709219747357285
233,0.709219747357285
248,0.709219747357285
263,0.709219747357285
279,0.709219747357285
296,0.709219747357285
315,0.709219747357285
334,0.7092197473572857
355,0.7092197473572857
377,0.7092197473572857
400,0.709219746980079
