n,mse
64000000,0.0240714341127665
58237490,0.0240717659845539
52993832,0.0240721306861964
48222309,0.024072531465086
43880410,0.0240729718904124
39929452,0.0240734558829049
36334236,0.0240739877535198
33062730,0.0240745722373443
30085788,0.0240752145395215
27376887,0.0240759203793927
24911893,0.0240766960427378
22668846,0.0240775484360682
20627761,0.0240784851507409
18770454,0.0240795145285894
17080377,0.0240806457379629
15542473,0.0240818888533413
14143041,0.0240832549471761
12869613,0.0240847561875556
11710843,0.0240864059490217
10656408,0.0240882189285853
9696913,0.0240902112810772
8823811,0.0240924007579124
8029321,0.0240948068787503
7306368,0.0240974510808391
6648508,0.024100356948959
6049882,0.0241035503866549
5505155,0.0241070598862533
5009475,0.0241109167522484
4558426,0.0241151554021288
4147989,0.0241198136791513
3774507,0.0241249331895443
3434653,0.0241305596684382
3125400,0.0241367433898536
2843991,0.0241435396923639
2587920,0.0241510093693422
2354906,0.0241592192877939
2142872,0.0241682430488729
1949930,0.0241781615281111
1774359,0.0241890638713067
1614597,0.0242010479100489
1469220,0.0242142214716269
1336933,0.0242287031663863
1216556,0.0242446237774096
1107019,0.0242621267606817
1007343,0.0242813709927594
916643,0.0243025303426371
834109,0.0243257974172053
759007,0.0243513836548774
690666,0.0243795232881798
628479,0.0244104731667613
571891,0.0244445178937169
520399,0.0244819703122767
473542,0.0245231785335269
430905,0.0245685231367678
392106,0.0246184294852833
356801,0.0246733635936997
324675,0.0247338439150881
295442,0.024800443608814
268840,0.0248738030692217
244634,0.024954623213296
222607,0.0250436928590982
202564,0.0251418791952369
184325,0.0252501608445294
167729,0.0253696120324247
152626,0.0255014594047928
138884,0.0256470343833972
126379,0.0258078677910653
115000,0.0259856583165976
104645,0.0261823347593621
95223,0.0264000349177464
86649,0.0266412267884375
78847,0.0269086768015842
71748,0.0272055191417983
65288,0.0275353869274321
59409,0.0279024512136303
54060,0.0283113887803876
49193,0.0287677103929773
44763,0.0292780061597404
40733,0.0298494964880904
37065,0.0304913086470555
33728,0.0312136416795014
30691,0.0320293037493839
27927,0.0329535232867652
25413,0.0340041835638833
23125,0.0352047029647424
21042,0.0365843169221855
19148,0.0381777248998629
17424,0.0400339106863463
15855,0.0422160464774665
14427,0.0448116838205343
13128,0.0479449377336251
11946,0.0518067710022027
10870,0.0566918975862533
9892,0.0629643348310662
9001,0.0714141331572415
8190,0.0827817556046086
7453,0.098767572354127
6782,0.1244311905012132
6171,0.1629561837079782
5615,0.2214071920318225
5110,0.3364151994817268
4650,0.4565025988837103
4231,0.4763233802208728
3850,0.4258739136347413
3503,0.3819530602517968
3188,0.3559480763473346
2901,0.3447759294073225
2640,0.3444300091036201
2402,0.3518542423705735
2186,0.3688012646609195
1989,0.3907810724513381
1810,0.4147902490290056
1647,0.4380004533151864
1498,0.4754868950396375
1363,0.5122950387708248
1241,0.5505115328621133
1129,0.5900637799304456
1027,0.6303618328911426
935,0.6710244959300915
850,0.7131471493473605
774,0.7534442007230667
704,0.793255595298425
641,0.8307347039686491
583,0.8661151864466434
530,0.8982550056345237
483,0.925621520992645
439,0.9496004186008148
400,0.968923453092499
