n,mse
64000000,0.0052978083889296
58237490,0.0052985314926199
52993832,0.0052993260991813
48222309,0.0053001992789323
43880410,0.0053011588030817
39929452,0.0053022132108961
36334236,0.0053033718868411
33062730,0.0053046451453007
30085788,0.0053060443210908
27376887,0.0053075818725547
24911893,0.0053092714928841
22668846,0.0053111282302931
20627761,0.0053131686279628
18770454,0.0053154108686852
17080377,0.0053178749415567
15542473,0.0053205828202245
14143041,0.0053235586609714
12869613,0.0053268290235302
11710843,0.0053304231140343
10656408,0.0053343730437778
9696913,0.0053387141325074
8823811,0.0053434852163027
8029321,0.0053487290355445
7306368,0.0053544925716981
6648508,0.0053608275656977
6049882,0.0053677909122717
5505155,0.0053754452737215
5009475,0.0053838595988471
4558426,0.0053931098183506
4147989,0.0054032795762481
3774507,0.0054144610259772
3434653,0.0054267557025777
3125400,0.005440275510868
2843991,0.0054551439863324
2587920,0.005471497288235
2354906,0.0054894857250444
2142872,0.0055092754120367
1949930,0.0055310497157341
1774359,0.0055550117592568
1614597,0.0055813857318789
1469220,0.0056104202524946
1336933,0.0056423907078035
1216556,0.0056776030555991
1107019,0.0057163958502886
1007343,0.0057591474557723
916643,0.0058062765191653
834109,0.00585825205003
759007,0.0059155958751648
690666,0.0059788943496141
628479,0.0060488017387818
571891,0.0061260570206873
520399,0.0062114934488173
473542,0.0063060722511696
430905,0.0064109351134793
392106,0.0065277055584909
356801,0.0066606080029658
324675,0.0068045608126696
295442,0.0069638696481595
268840,0.0071411938884136
244634,0.00734290743691
222607,0.0075634931780037
202564,0.0078094300918793
184325,0.0080847439293867
167729,0.0083936973857097
152626,0.0087415400146886
138884,0.0091373803978465
126379,0.009583269977869
115000,0.0100885749571095
104645,0.0106656895614418
95223,0.0113278128118272
86649,0.0120896400850338
78847,0.0129686826192898
71748,0.0139876188185461
65288,0.0151957557663633
59409,0.0165897752801493
54060,0.0182017519287669
49193,0.0200964641020426
44763,0.0223138857902207
40733,0.0249444202527193
37065,0.0280581735491654
33728,0.0317372604871948
30691,0.0362046756672427
27927,0.0417249215233113
25413,0.0485205899452538
23125,0.0571127277087257
21042,0.0682654860452889
19148,0.0829868443964778
17424,0.1017265911238347
15855,0.1310358135241272
14427,0.1700473601980214
13128,0.2164096994306528
11946,0.24404931922597
10870,0.232456910692683
9892,0.2056388284705823
9001,0.1823890008259883
8190,0.1664208525467065
7453,0.1569763969626356
6782,0.1528086397942536
6171,0.1526412325059503
5615,0.1556140744328733
5110,0.1610849063373471
4650,0.1687455592263194
4231,0.179346382664377
3850,0.1917103459774469
3503,0.2062518300289892
3188,0.2230809443738226
2901,0.2424478673495131
2640,0.2641473213613701
2402,0.2882554445197349
2186,0.3147231134538968
1989,0.3436994110588853
1810,0.3749683639243006
1647,0.4084930909997314
1498,0.4444551977640188
1363,0.4823898408673619
1241,0.5218627494415679
1129,0.5631848744657241
1027,0.6055471975394585
935,0.6480522844851184
850,0.6914615443169843
774,0.7335991983969667
704,0.7751588401939216
641,0.8143112908979877
583,0.8513857009699399
530,0.8853535958016481
483,0.9146829717802898
439,0.9407120488081548
400,0.9619059320833038
