n,mse_mean,mse_std
400.0,3.210977935791016,0.1415922546386718
728.0,3.0860983276367184,0.0143515014648436
1325.0,2.0056291961669923,0.2231143951416015
2413.0,0.8967385101318359,0.5259343719482421
4394.0,0.2942665767669677,7.615089416501686e-05
8000.0,0.273630313873291,0.0009472465515136
14564.0,0.2642592239379883,0.0008677101135253
26515.0,0.2595471000671386,0.0001579475402831
48273.0,0.2569785499572754,0.0001136970520019
87884.0,0.2559173393249512,5.052566528321312e-05
160000.0,0.255371618270874,2.7151107788087048e-05
291290.0,0.2549344253540039,3.4160614013678536e-05
530312.0,0.2547601318359375,1.6021728515558389e-06
965468.0,0.2546449184417724,4.358291625983224e-06
1757696.0,0.2545837116241455,2.641677856463076e-06
3200000.0,0.2545529747009277,3.5285949707142272e-06
