rank,mse_mean,mse_std
800.0,0.0145289969444274,0.0001394987106323
512.0,0.0145506364107131,3.613829612731344e-06
328.0,0.0145298564434051,3.4363269805908446e-05
210.0,0.0145186096429824,0.0001209479570388
135.0,0.0145735681056976,0.0001857125759124
86.0,0.0132966089248657,0.0001994943618774
55.0,0.0107767134904861,7.410466670989928e-05
35.0,0.00865074634552,0.0001380920410156
23.0,0.0080986899137496,2.3576021194458497e-05
14.0,0.0112561786174774,3.629803657531801e-05
9.0,0.0184579116106033,3.8413405418396065e-05
6.0,0.0311375284194946,2.302408218383782e-05
4.0,0.0527081060409545,3.3001899719237865e-05
2.0,0.1236379718780517,3.354072570800615e-05
1.0,0.2553334999084473,4.062652587899507e-06
