rank,mse
1,0.3916108696383071
2,0.2395135887651021
3,0.1719147985389837
4,0.1338904800671325
5,0.1095549169873506
6,0.0926552212163176
7,0.0802391186423834
8,0.0707330407249569
9,0.0632220660559597
10,0.0571381770137415
11,0.0521101698622916
12,0.0478852476864868
13,0.0442853143265542
14,0.0411812904613393
16,0.0361008233681756
17,0.0339956729485764
18,0.0321179310021702
19,0.0304326448907286
20,0.0289116744836639
22,0.0262751094213606
23,0.0251250377819838
25,0.0230953885953031
28,0.0205848521027423
29,0.0198614428867021
32,0.0179582526754564
36,0.0159072258328765
37,0.0154628240209331
41,0.0138993543239185
42,0.013554464805163
46,0.0123232291317869
48,0.0117837621412553
52,0.0108281240616159
55,0.0102017867912036
59,0.0094649131200514
63,0.0088208692031468
66,0.0083886792771219
72,0.0076315980742451
75,0.0072981805001197
82,0.0066145040600427
84,0.0064399727130328
94,0.0056781292225391
95,0.0056107198698185
107,0.0048996327088846
108,0.0048474755306782
121,0.00424756226216
123,0.0041664783968713
136,0.0036973515756286
141,0.0035398722762554
153,0.003203781795354
161,0.0030074712510057
173,0.0027469530415336
184,0.0025379167846355
195,0.0023524074724863
210,0.0021306895203045
220,0.0019996386488545
240,0.0017702367825715
248,0.0016888175750624
275,0.0014489456623776
279,0.001417351283016
314,0.0011751928070795
315,0.0011690637017178
355,0.0009521851002269
359,0.0009331526039693
400,0.0007599997372256
410,0.0007230164809546
414,0.0007087231331186
428,0.0006607989021141
443,0.0006128108362235
458,0.0005679646494112
469,0.0005368998070098
474,0.0005232565671862
490,0.0004814668556996
507,0.0004399538388772
524,0.000401133707184
536,0.0003752129677927
542,0.0003626831068912
561,0.0003247729421358
580,0.0002893442616525
600,0.0002544774413337
612,0.0002346502268162
621,0.0002202831426809
642,0.0001883233742823
664,0.0001570100812933
687,0.00012641741551
700,0.0001100122107813
711,9.660153462509592e-05
735,6.873175791022312e-05
761,4.0516292254322295e-05
787,1.4157497628008995e-05
800,1.6120302339661665e-06
814,1.6120302339661665e-06
842,1.6120302339661665e-06
871,1.6120302339661665e-06
901,1.6120302339661665e-06
914,1.6120302339661665e-06
932,1.6120302339661665e-06
964,1.6120302339661665e-06
997,1.6120302339661665e-06
1032,1.6120302339661665e-06
1045,1.6120302339661665e-06
1067,1.6120302339661665e-06
1104,1.6120302339661665e-06
1142,1.6120302339661665e-06
1181,1.6120302339661665e-06
1195,1.6120302339661665e-06
1222,1.6120302339661665e-06
1264,1.6120302339661665e-06
1307,1.6120302339661665e-06
1352,1.6120302339661665e-06
1366,1.6120302339661665e-06
1399,1.6120302339661665e-06
1447,1.6120302339661665e-06
1497,1.6120302339661665e-06
1548,1.6120302339661665e-06
1561,1.6120302339661665e-06
1601,1.6120302339661665e-06
1657,1.6120302339661665e-06
1714,1.6120302339661665e-06
1773,1.6120302339661665e-06
1784,1.6120302339661665e-06
1834,1.6120302339661665e-06
1897,1.6120302339661665e-06
1962,1.6120302339661665e-06
2029,1.6120302339661665e-06
2039,1.6120302339661665e-06
2099,1.6120302339661665e-06
2172,1.6120302339661665e-06
2246,1.6120302339661665e-06
2324,1.6120302339661665e-06
2331,1.6120302339661665e-06
2404,1.6120302339661665e-06
2486,1.6120302339661665e-06
2572,1.6120302339661665e-06
2660,1.6120302339661665e-06
2665,1.6120302339661665e-06
2752,1.6120302339661665e-06
2847,1.6120302339661665e-06
2945,1.6120302339661665e-06
3046,1.6120302339661665e-06
