n,mse
64000000,0.0001900518670943
58237490,0.0001958359659872
52993832,0.000202143610712
48222309,0.0002090347177863
43880410,0.0002165164715923
39929452,0.0002246559782252
36334236,0.0002335242122453
33062730,0.0002431243279072
30085788,0.0002535427877532
27376887,0.0002648522471349
24911893,0.0002771396120198
22668846,0.0002904601684776
20627761,0.0003048844472426
18770454,0.0003205105802628
17080377,0.0003374412381726
15542473,0.0003557934236793
14143041,0.0003757142616183
12869613,0.0003973376535577
11710843,0.0004207151248993
10656408,0.0004460312754424
9696913,0.0004734877776866
8823811,0.000503297570044
8029321,0.0005356454610554
7306368,0.0005707348758883
6648508,0.0006088257142529
6049882,0.0006502051373584
5505155,0.0006951389220408
5009475,0.0007439392942418
4558426,0.000796997339058
4147989,0.0008546541685277
3774507,0.0009173730741347
3434653,0.0009855955019695
3125400,0.0010598237725536
2843991,0.001140663844398
2587920,0.0012287553170999
2354906,0.0013248208860114
2142872,0.0014296589829028
1949930,0.0015441284242803
1774359,0.0016691419978738
1614597,0.0018057503443567
1469220,0.0019551953914016
1336933,0.00211881264634
1216556,0.0022979688429975
1107019,0.0024942966170751
1007343,0.0027096736960774
916643,0.0029461695824228
834109,0.0032060824151569
759007,0.0034920122324717
690666,0.0038069120460229
628479,0.0041541256571786
571891,0.0045374420781301
520399,0.0049611627209253
473542,0.0054303401441639
430905,0.005950427484219
392106,0.006528001243526
356801,0.0071706816300434
324675,0.0078872525611526
295442,0.0086879854259951
268840,0.0095848473410411
244634,0.0105921932361048
222607,0.0117268889021904
202564,0.0130088004206776
184325,0.0144621588678537
167729,0.0161162556587555
152626,0.0180073243008624
138884,0.0201787095781276
126379,0.0226842718077464
115000,0.0255889087872844
104645,0.028973895892447
95223,0.0329359385190684
86649,0.0375945822389036
78847,0.0430759858725473
71748,0.0495063695185005
65288,0.0569335313642542
59409,0.0652047359866132
54060,0.073691887871077
49193,0.0809905211897259
44763,0.0851114937294095
40733,0.0848310767115727
37065,0.0811557256028765
33728,0.076228427593942
30691,0.0715042734940858
27927,0.0676185262715336
25413,0.0647335759710776
23125,0.0627875030496003
21042,0.0617500564132791
19148,0.0614816149658952
17424,0.0619783283432759
15855,0.0632088497134339
14427,0.0650937436967347
13128,0.067599153968479
11946,0.0707934617077146
10870,0.0746748588555101
9892,0.0792481614697926
9001,0.0845907326993535
8190,0.0907227917040787
7453,0.09769765588418
6782,0.1055982882499764
6171,0.1145033241725781
5615,0.1245139564118602
5110,0.1357532838884079
4650,0.1482966130083636
4231,0.1623399819584894
3850,0.1779774436721695
3503,0.1953369334956805
3188,0.2144620472805671
2901,0.2355611962606376
2640,0.2587716074891915
2402,0.2842104731564527
2186,0.3117700648381507
1989,0.3416400927227661
1810,0.3736058052796995
1647,0.4078228146106345
1498,0.4442408993442037
1363,0.4823745128196369
1241,0.5218627494393331
1129,0.5631848744657258
1027,0.6055471975394481
935,0.6480522844851175
850,0.6914615443169809
774,0.7335991983969665
704,0.7751588401939189
641,0.8143112908979877
583,0.8513857009699389
530,0.8853535958016483
483,0.9146829717802964
439,0.940712048808157
400,0.9619059320833888
