n,mse_mean,mse_std
400.0,1.0217826461791992,0.0046103286743164
728.0,0.99542423248291,0.0068404769897461
1325.0,0.7601963806152343,0.0293133544921874
2413.0,0.3753190040588379,0.0015728950500488
4394.0,0.1892758178710937,0.0037970733642578
8000.0,0.1113198947906494,0.0049371814727783
14564.0,0.1059461641311645,0.0010507726669311
26515.0,0.1095850133895874,0.0012644529342651
48273.0,0.0413923001289367,0.0002001023292541
87884.0,0.0186537653207778,0.0001704841852188
160000.0,0.0098592108488082,1.3310909271239783e-05
291290.0,0.0057339122891426,1.2940466403961372e-05
530312.0,0.003730539381504,7.1176886558533235e-06
965468.0,0.0027689632773399,8.732974529266323e-06
1757696.0,0.0022841565310955,3.670901060104457e-06
3200000.0,0.0020281520485877,2.384185791015625e-07
