n,mse
64000000,6.319006651867021e-05
58237490,6.944561517019388e-05
52993832,7.62700752523493e-05
48222309,8.369333554880676e-05
43880410,9.174054469096582e-05
39929452,0.0001004455686457
36334236,0.0001098572930864
33062730,0.0001200181491787
30085788,0.0001309918870138
27376887,0.0001428313887166
24911893,0.000155618726108
22668846,0.000169432638394
20627761,0.0001843345300704
18770454,0.0002004245654172
17080377,0.0002178104752221
15542473,0.0002365948329909
14143041,0.0002568863391874
12869613,0.0002788115245413
11710843,0.0003025233760396
10656408,0.00032818330234
9696913,0.0003559493431375
8823811,0.0003860084724458
8029321,0.0004185827943723
7306368,0.0004538898390302
6648508,0.0004921843514038
6049882,0.0005337281292572
5505155,0.0005787915733324
5009475,0.0006277110282006
4558426,0.000680842982127
4147989,0.0007385954918681
3774507,0.0008013895430969
3434653,0.0008696735070934
3125400,0.0009439802755459
2843991,0.0010248893214237
2587920,0.0011130386207149
2354906,0.001209169264851
2142872,0.0013140380525369
1949930,0.0014284548843821
1774359,0.0015534110268891
1614597,0.0016899617461858
1469220,0.0018393148575672
1336933,0.0020027751474109
1216556,0.0021817988827961
1107019,0.0023780361601331
1007343,0.0025933051479025
916643,0.002829635831594
834109,0.0030893415264336
759007,0.0033750557061444
690666,0.003689711783116
628479,0.0040365302275802
571891,0.0044193933294309
520399,0.0048425625399595
473542,0.0053110296904621
430905,0.0058304749379882
392106,0.0064074033482155
356801,0.0070493034676701
324675,0.0077649661999936
295442,0.0085646425896179
268840,0.0094605107806684
244634,0.0104666435694273
222607,0.0115999125340382
202564,0.0128803506661729
184325,0.0143323311767178
167729,0.0159848073790453
152626,0.0178737589834894
138884,0.0200425207604846
126379,0.0225447087916983
115000,0.0254462867174114
104645,0.0288285682634474
95223,0.0327895984515771
86649,0.0374471895834211
78847,0.042931293645696
71748,0.0493648668144512
65288,0.0568065943082596
59409,0.0651085957200228
54060,0.073644497608325
49193,0.0809910511546763
44763,0.085111493728927
40733,0.08483107671157
37065,0.0811557256028756
33728,0.0762284275939422
30691,0.0715042734940856
27927,0.0676185262715345
25413,0.0647335759710767
23125,0.0627875030495999
21042,0.0617500564132806
19148,0.0614816149658932
17424,0.0619783283432706
15855,0.0632088497134444
14427,0.0650937436967313
13128,0.0675991539684788
11946,0.070793461707717
10870,0.0746748588555104
9892,0.079248161469797
9001,0.0845907326993535
8190,0.0907227917040789
7453,0.0976976558841806
6782,0.1055982882499761
6171,0.1145033241725794
5615,0.1245139564118604
5110,0.1357532838884088
4650,0.1482966130083647
4231,0.1623399819584901
3850,0.1779774436721679
3503,0.1953369334956849
3188,0.2144620472805674
2901,0.2355611962606381
2640,0.2587716074891921
2402,0.2842104731564565
2186,0.3117700648381523
1989,0.3416400927227634
1810,0.3736058052797
1647,0.4078228146106404
1498,0.4442408993442049
1363,0.4823745128196377
1241,0.521862749439333
1129,0.5631848744657258
1027,0.605547197539444
935,0.6480522844851179
850,0.691461544316984
774,0.7335991983969661
704,0.7751588401939185
641,0.8143112908979853
583,0.8513857009699435
530,0.885353595801648
483,0.9146829717802828
439,0.9407120488081476
400,0.9619059320833072
