n,mse_mean,mse_std
400.0,0.9847314453125,0.0023011779785155
728.0,0.9764751434326172,0.0030931854248046
1325.0,0.8218184661865234,0.0223859405517578
2413.0,0.3723840713500976,0.0153897476196289
4394.0,0.1920839023590088,0.004516954421997
8000.0,0.1004631423950195,0.0029231834411621
14564.0,0.067442078590393,0.000768117904663
26515.0,0.0675770664215087,0.0003259849548339
48273.0,0.0822778034210205,0.0009658336639404
87884.0,0.0371245169639587,0.0005075001716613
160000.0,0.0171649599075317,0.0001721620559692
291290.0,0.0088508597016334,4.5986473560332905e-05
530312.0,0.004874714910984,7.398426532745361e-06
965468.0,0.0028201474249362,2.003416419029216e-05
1757696.0,0.0016834781318902,1.270845532417241e-06
3200000.0,0.0010406122356653,4.7468394041061445e-06
