rank,mse_mean,mse_std
1,0.7890816802978516,0.0028044605715371
2,0.7170147018432618,0.0047269533232525
3,0.6943093719482422,0.0057106663778422
4,0.6869100112915041,0.0038175002155675
5,0.7079928207397461,0.0059479652230009
6,0.7322094421386718,0.0162975339390424
8,0.7913691558837891,0.0159036268091035
11,0.9021127777099608,0.00528805286339
14,0.992187728881836,0.0105913101054891
18,1.1213863220214844,0.0175600963106098
23,1.227188735961914,0.0093913671238519
29,1.2973313598632814,0.012732279407051
37,1.3553387145996092,0.0106119696973298
48,1.2619294891357424,0.014417989749988
61,1.1334615478515624,0.00672335004998
78,0.9701787109375,0.0103614987006964
100,0.8680682678222655,0.0058684395693525
141,0.8445448608398438,0.0079187036811833
200,0.8388829956054688,0.0105718753284756
282,0.8441867370605468,0.0112166316589034
400,0.8486253509521484,0.0104501148013927
