n,mse_mean,mse_std
400.0,0.995866470336914,0.0044388580322265
728.0,0.9814900970458984,0.0018898773193359
1325.0,0.8164017486572266,0.007660903930664
2413.0,0.3896806144714355,0.031995906829834
4394.0,0.1909427547454834,0.0053458881378173
8000.0,0.1031570720672607,0.0004546737670898
14564.0,0.0689848947525024,0.0011619615554809
26515.0,0.0839350509643554,0.000193748474121
48273.0,0.0807138347625732,0.000211181640625
87884.0,0.0315306329727172,0.0001092290878295
160000.0,0.0149025756120681,6.176531314849854e-05
291290.0,0.0079093691706657,9.442865848541432e-06
530312.0,0.0044906662404537,1.9948184490203164e-06
965468.0,0.0027270594239234,2.371668815612628e-06
1757696.0,0.0017240113765001,1.6749650239945369e-06
3200000.0,0.0011808364093303,2.8395652770995747e-06
