rank,mse
1,0.7715706732716827
2,0.678480794413027
3,0.6260972114727409
4,0.5928789183671004
5,0.5706686236095528
6,0.5564834441700149
7,0.5504751912627044
8,0.5442942369190682
9,0.5437297544766289
10,0.5439063420193108
11,0.5471324673972927
12,0.5505120349689033
13,0.5545824780804631
14,0.5582018318844414
15,0.5627205144019694
16,0.5665382565725542
17,0.5698282600421477
18,0.5724426128379086
19,0.575654959768159
20,0.5772123774338597
21,0.5792891585752495
22,0.5805951635436983
23,0.5817788115102464
24,0.581947800101259
25,0.5816226885065545
26,0.5803960210657653
27,0.5812714430664867
28,0.5781487237869944
29,0.5773417391653611
30,0.5752391648269998
32,0.5706837331053259
33,0.567771395336383
34,0.5663494122270327
35,0.5610350294045594
36,0.5590349204837884
38,0.5507750668548439
39,0.5484685838027659
40,0.5433863672601174
41,0.5388397551512685
42,0.5357887078552654
44,0.5287261687032052
46,0.5217459196019271
48,0.5135875428164389
49,0.5107924560551063
50,0.5065690754941585
52,0.5003723114191272
55,0.49049042575392876
58,0.4815452081568372
59,0.4792221619154952
60,0.4759157168678529
62,0.4715425761902574
63,0.4681910239704845
66,0.46161315657128676
69,0.4549654861610892
70,0.4540214051346525
72,0.4491817681979859
75,0.445454959210245
76,0.4424286868132363
79,0.4387304372747689
83,0.4330287343672747
84,0.4331439123483611
87,0.4288962788809334
89,0.4282343550260126
91,0.425507828867854
95,0.4235184357124172
100,0.4209249468574905
101,0.4216394607715499
107,0.4208807048939105
114,0.4208725779462243
121,0.4208725779462243
128,0.4208725779462243
136,0.4208725779462243
144,0.4208725779462243
153,0.4208725779462243
163,0.4208725779462243
173,0.4208725779462243
184,0.4208725779462243
195,0.4208725779462243
207,0.4208725779462243
220,0.4208725779462243
233,0.4208725779462243
248,0.4208725779462241
263,0.4208725779462248
279,0.4208725779462248
296,0.4208725779462243
315,0.4208725779462245
334,0.4208725779462245
355,0.4208725779462248
377,0.4208725779462248
400,0.4208725793428498
