rank,mse
400,0.0508168150120242
391,0.0508168150085106
382,0.0508168150085106
373,0.0508168150085102
364,0.0508168150085102
356,0.0508168150085099
348,0.0508168150085099
340,0.0508168150085099
332,0.0508168150085099
324,0.0508168150085099
317,0.0508168150085097
309,0.0508168150085102
302,0.0508168150085102
295,0.0508168150085099
288,0.0508168150085102
282,0.0508168150085099
275,0.0508168150085102
269,0.0508168150085102
262,0.0508168150085102
256,0.0508168150085102
250,0.0508168150085102
245,0.0508168150085102
239,0.0508168150085102
233,0.0508168150085102
228,0.0508168150085102
223,0.0508168150085102
218,0.0508168150085102
213,0.0508168150085099
208,0.0508168150085104
203,0.0508168150085099
198,0.0508168150085099
194,0.0508168150085104
189,0.0508168150085097
185,0.0508168150085099
180,0.0508168150085099
176,0.0508168150085099
172,0.0508211693131304
168,0.0508538985719539
164,0.0509412533253219
161,0.051028008614202
157,0.051168551024026
153,0.0513702486797684
150,0.0514744677249996
146,0.0517507492557287
143,0.051897240554517
140,0.0521549270757053
136,0.0525454988900071
133,0.0528352288485243
130,0.0524615766696403
127,0.0532156798974727
124,0.0534599389456389
121,0.0537055263640477
118,0.0538934950783074
116,0.0541313255363988
113,0.0543815355771557
110,0.0545463277288342
108,0.0545562928338074
105,0.054652574066407
103,0.0546907287938809
101,0.0545647163276774
98,0.0544668115887099
96,0.0546365783172797
94,0.0546124827947269
92,0.0544240082124669
89,0.0541341148393876
87,0.0541693940528371
85,0.0539030045481763
83,0.0536216190715876
81,0.053321055812725
80,0.0530933366058392
78,0.0526077459861729
76,0.0522666150689077
74,0.0516785194716382
72,0.0510368555905464
71,0.0507832034951949
69,0.050141511077882
68,0.0497757949042945
66,0.0489968173442254
64,0.0482743056514283
63,0.0478964691632644
62,0.0474323531818321
60,0.0463030440092728
59,0.0460424799966843
57,0.0449159906588656
56,0.0444805398495762
55,0.0439681308194861
53,0.0428547607216422
52,0.0422558802042534
51,0.0416506752229266
50,0.0410282623052065
49,0.0403782094152649
48,0.0397940498913143
46,0.038512930397444
45,0.0378281366867283
44,0.0371448209653932
43,0.0364452077049832
42,0.0357717411442517
41,0.0350349767893047
40,0.0342798308358376
39,0.0336227774369823
38,0.0328473133585389
37,0.0322079744848409
36,0.031487710385829
35,0.030709476310518
34,0.0299503182440008
33,0.0292201716934055
32,0.0284184903258652
31,0.0277246388842238
30,0.0269478289368947
29,0.026187796499294
28,0.0254021303271236
27,0.0246508269742962
26,0.0239142495802227
25,0.0231531423877269
24,0.0224155755661477
23,0.0216989386416006
22,0.0209592859044398
21,0.0203027248099532
20,0.0196485024788908
19,0.0190306843798779
18,0.0184592911655721
17,0.0180246976880547
16,0.0177853503278178
15,0.0176250195943727
14,0.017697606747719
13,0.0180126798942388
12,0.0185714131675442
11,0.0194155973093999
10,0.0207284004210361
9,0.0225737373626917
8,0.0251500986682691
7,0.0288142148268024
6,0.0341622754604846
5,0.0422439698296215
4,0.0552027645293173
3,0.0781574309569241
2,0.1256839306429997
1,0.2570459760474852
