rank,mse_mean,mse_std
1,0.7805736618041992,0.0018379615479806
2,0.6986011276245117,0.0024441182990009
3,0.6589921798706055,0.004229312696208
4,0.6404434356689452,0.0026679617625898
5,0.6395327224731445,0.008436402253577
6,0.6387980957031251,0.0067103830097981
8,0.6709954833984375,0.0079003697768296
11,0.724440933227539,0.0085172615056933
14,0.7771097869873047,0.0142148490835418
18,0.8355893554687499,0.0072001168470402
23,0.8962426147460938,0.0070220814265689
29,0.9283977355957032,0.0143835332859914
37,0.91028694152832,0.0100231511672988
48,0.844901123046875,0.0070332214275581
61,0.7574610137939454,0.0080460407922152
78,0.6747669677734375,0.0049666121311514
100,0.612670524597168,0.0044486755616015
141,0.6077080993652344,0.0034059209084309
200,0.6059609985351562,0.0049298560891383
282,0.6075150680541993,0.0030929648596374
400,0.6016106109619141,0.0075270522112859
