n,mse_mean,mse_std
400.0,0.9881642532348632,0.0034508895874023
728.0,0.9673099517822266,0.0014862823486327
1325.0,0.8218326187133789,0.0229509353637695
2413.0,0.3876557159423828,0.0090709686279296
4394.0,0.1872436904907226,0.0023806190490722
8000.0,0.1003045082092285,0.0007484436035156
14564.0,0.0683433389663696,0.0025261545181274
26515.0,0.0682396483421325,0.0002797150611877
48273.0,0.0873812437057495,0.0018059682846069
87884.0,0.0361136198043823,0.0004905915260314
160000.0,0.0168795609474182,1.1000633239745957e-05
291290.0,0.0087138664722442,3.736972808837929e-05
530312.0,0.0048664291203022,1.4593750238418943e-05
965468.0,0.0028458072245121,1.423314213752744e-05
1757696.0,0.0017333348840475,1.5237107872962926e-05
3200000.0,0.0011173708736896,1.781955361366259e-06
