n,mse
64000000,0.254514381523627
58237490,0.2545145695967676
52993832,0.2545147762780788
48222309,0.2545150034076768
43880410,0.2545152530102299
39929452,0.2545155273076382
36334236,0.254515828742812
33062730,0.2545161600022199
30085788,0.2545165240353839
27376887,0.2545169240853264
24911893,0.2545173637139708
22668846,0.2545178468383284
20627761,0.254518377760683
18770454,0.2545189612106315
17080377,0.2545196023843972
15542473,0.2545203069928217
14143041,0.2545210813110252
12869613,0.2545219322356757
11710843,0.2545228673458775
10656408,0.2545238949697035
9696913,0.254525024261051
8823811,0.2545262652756281
8029321,0.2545276290700065
7306368,0.2545291277852253
6648508,0.2545307747754406
6049882,0.2545325847046991
5505155,0.2545345736989008
5009475,0.2545367594697933
4558426,0.254539161484612
4147989,0.2545418011403881
3774507,0.254544701952355
3434653,0.2545478897570106
3125400,0.2545513929406005
2843991,0.2545552427295585
2587920,0.2545594734078789
2354906,0.2545641226557216
2142872,0.2545692319145116
1949930,0.2545748466802
1774359,0.2545810170496905
1614597,0.2545877979384154
1469220,0.2545952497966863
1336933,0.2546034390259568
1216556,0.2546124387295194
1107019,0.2546223289508673
1007343,0.254633198173946
916643,0.2546451430152583
834109,0.2546582702596311
759007,0.2546726968148545
690666,0.2546885518280348
628479,0.2547059764396771
571891,0.2547251265003258
520399,0.2547461726266919
473542,0.2547693038879766
430905,0.2547947259082317
392106,0.2548226673849387
356801,0.2548533772839645
324675,0.2548871308535148
295442,0.2549242301624226
268840,0.2549650101995828
244634,0.2550098340589393
222607,0.2550591068254519
202564,0.2551132686697379
184325,0.2551728111233755
167729,0.2552382658834751
152626,0.2553102330261285
138884,0.2553893511684246
126379,0.2554763446236205
115000,0.2555720003759241
104645,0.2556771947995908
95223,0.2557928735311288
86649,0.2559201056494682
78847,0.2560600527355869
71748,0.256213989029862
65288,0.2563833484365285
59409,0.2565697172414398
54060,0.2567747838961309
49193,0.2570004645372592
44763,0.2572489657993304
40733,0.2575224946002321
37065,0.2578237871989899
33728,0.2581555873992616
30691,0.2585212103931631
27927,0.2589242335972759
25413,0.2593683372333688
23125,0.2598581589525179
21042,0.2603988216725608
19148,0.2609950943713974
17424,0.2616536811299457
15855,0.2623813816138034
14427,0.2631859755773049
13128,0.2640756891669826
11946,0.2650604814887458
10870,0.2661518797948201
9892,0.2673605449435889
9001,0.2687035086592122
8190,0.2701961867429892
7453,0.2718544906970741
6782,0.2737025843737293
6171,0.2757659226543265
5615,0.2780722266645217
5110,0.2806498080126987
4650,0.2835449292608309
4231,0.2868054189364786
3850,0.2904816384649604
3503,0.2946468082703384
3188,0.2993672656244968
2901,0.3047589927082981
2640,0.3109367431127601
2402,0.3180771088220235
2186,0.3263471997281524
1989,0.3360512281071883
1810,0.3475096498175578
1647,0.3612317222499195
1498,0.3779935056573211
1363,0.398692386428229
1241,0.4248029726991533
1129,0.4594782333205207
1027,0.507720890150811
935,0.5800529502332565
850,0.7120910291399931
774,1.1956802155616304
704,1.2460975346928596
641,1.6188897657449433
583,1.5553692633723897
530,1.6137079178296008
483,1.5094194319192542
439,1.464537091633077
400,1.4188209603751374
