rank,mse
400,0.0043355294179152
391,0.0043355295364013
382,0.0043355295364015
373,0.0043355295364013
364,0.0043355295364015
356,0.0043355295364013
348,0.0043355295364013
340,0.0043355295364013
332,0.0043355295364013
324,0.0043355295364013
317,0.0043355295364013
309,0.0043355295364013
302,0.0043355295364013
295,0.0043355295364015
288,0.0043355295364013
282,0.0043355295364013
275,0.0043355295364013
269,0.0043355295364013
262,0.0043355295364015
256,0.0043355295364015
250,0.0043355295364013
245,0.0043355295364013
239,0.0043355295364013
233,0.0043366794239136
228,0.0043407779351616
223,0.0043473289180817
218,0.0043558597451265
213,0.0043664428236698
208,0.0043783759244842
203,0.0043913401585995
198,0.0044051864145042
194,0.0044167213641956
189,0.0044308383715541
185,0.0044422903455496
180,0.0044564215769793
176,0.0044670183601842
172,0.0044769041749261
168,0.0044865430343854
164,0.0044938152199403
161,0.0044996181593099
157,0.0045056411227006
153,0.0045094610572038
150,0.0045115624947389
146,0.0045130882312551
143,0.0045126589632664
140,0.0045117160510796
136,0.0045073038075997
133,0.0045025738910482
130,0.0044963756724234
127,0.0044891393315624
124,0.0044806747662735
121,0.0044697589829698
118,0.0044582198494349
116,0.0044486107526819
113,0.0044339678807052
110,0.0044153697478741
108,0.0044016678453147
105,0.0043811657585597
103,0.0043661060320101
101,0.0043490925943587
98,0.0043245427466811
96,0.004307023691908
94,0.0042866836807666
92,0.0042663403983913
89,0.0042333244921273
87,0.0042112303951771
85,0.0041867746302233
83,0.0041615252599838
81,0.0041349376170314
80,0.0041214946487417
78,0.0040947547962433
76,0.0040678546516299
74,0.0040383923633195
72,0.0040088095498391
71,0.0039952339907094
69,0.003965636983743
68,0.0039494595722142
66,0.0039174740713672
64,0.0038865361075044
63,0.0038705766932265
62,0.0038527815571045
60,0.0038248204655131
59,0.0038102629529419
57,0.0037800885765428
56,0.003767200514235
55,0.0037536316110706
53,0.0037244349213776
52,0.0037100929164972
51,0.0037001534023888
50,0.0036903500214127
49,0.0036811797956217
48,0.0036763583117667
46,0.0036679719300363
45,0.0036637965098691
44,0.0036651587949321
43,0.0036693725144247
42,0.0036763368773138
41,0.003691130771579
40,0.0037058763023838
39,0.0037283693940033
38,0.0037575381553767
37,0.0037880496123958
36,0.0038309187334788
35,0.0038745097070411
34,0.0039267235586282
33,0.0039869119705437
32,0.0040560042704032
31,0.004138442123315
30,0.0042302099229252
29,0.0043354201347878
28,0.0044539424122131
27,0.0045850865874379
26,0.004737502452365
25,0.0049100956647383
24,0.0051052028687581
23,0.005325278559082
22,0.0055747044646548
21,0.0058596936523751
20,0.0061867511021329
19,0.0065643860292068
18,0.0069979999916138
17,0.0074969020621187
16,0.0080832676007003
15,0.0087728825631547
14,0.0095907073159187
13,0.0105682781912481
12,0.0117536046579656
11,0.013210776758896
10,0.015033903767663
9,0.017356490178626
8,0.0203902378309683
7,0.0244747296800951
6,0.0301947536807811
5,0.0386202541360269
4,0.0519261660553718
3,0.0751949929390072
2,0.1229933882380367
1,0.2547420199806736
