rank,mse
400,0.0608381045722958
391,0.0608381045723287
382,0.0608381045723283
373,0.0608381045723287
364,0.0608381045723287
356,0.0608381045723287
348,0.0608381045723287
340,0.0608381045723287
332,0.0608381045723287
324,0.0608381045723287
317,0.0608381045723287
309,0.0608381045723287
302,0.0608381045723285
295,0.0608381045723285
288,0.0608381045723285
282,0.0608381045723285
275,0.0608381045723285
269,0.0608381045723285
262,0.0608381045723285
256,0.0608381045723285
250,0.0608381045723285
245,0.0608381045723285
239,0.0608381045723285
233,0.0608381045723285
228,0.0608381045723285
223,0.0608381045723285
218,0.0608381045723285
213,0.0608381045723285
208,0.0608381045723285
203,0.0608381045723285
198,0.0608381045723285
194,0.0608381045723285
189,0.0608381045723285
185,0.0608381045723285
180,0.0608381045723285
176,0.0608381045723285
172,0.0608381045723285
168,0.0608381045723285
164,0.0608381045723285
161,0.0608381045723285
157,0.0608381045723285
153,0.0608381045723285
150,0.0608381045723285
146,0.0608381045723285
143,0.0608381045723285
140,0.0608381045723285
136,0.0608381045723285
133,0.0608381045723285
130,0.0608381045723285
127,0.0608381045723285
124,0.0608381045723285
121,0.0608381045723285
118,0.0608381045723285
116,0.0608381045723285
113,0.0608381045723285
110,0.0608381045723285
108,0.0608381045723285
105,0.0608381045723285
103,0.0608381045723285
101,0.0608381045723285
98,0.0608381045723285
96,0.0608381045723278
94,0.0608381045723278
92,0.0608381045723278
89,0.0608390964847709
87,0.060850420952172
85,0.0609127042656749
83,0.0610380663485694
81,0.0612118616732921
80,0.0613061433799184
78,0.0614893659525428
76,0.0619147435446743
74,0.0623256274875692
72,0.062689476896937
71,0.0629062924405399
69,0.063478812624353
68,0.0638173233856136
66,0.0645433553473828
64,0.0652041091193442
63,0.0657604858109812
62,0.0662590460716292
60,0.0672736908371507
59,0.0672638149387738
57,0.0686988214664292
56,0.0694246587270484
55,0.0697050666328717
53,0.0717211075863548
52,0.0727820316201666
51,0.0737979642211335
50,0.0746999942273531
49,0.0756937498324854
48,0.0762575894459272
46,0.0785374575487589
45,0.0770284927818607
44,0.0816138293848005
43,0.0825269693376256
42,0.0845206804386224
41,0.0860157636120031
40,0.0870485467365542
39,0.0898903259662677
38,0.0902267363068149
37,0.0939110823861881
36,0.0969767577795817
35,0.0997811716399061
34,0.1006658520305709
33,0.1030229613036211
32,0.1072137599228151
31,0.10899192581808
30,0.1113363783901637
29,0.1129857886103116
28,0.1173608038321325
27,0.1208062015371898
26,0.1222757043888047
25,0.1219838747381363
24,0.1249800098855509
23,0.1243381161712087
22,0.1220122009752038
21,0.1189710388804865
20,0.1118609043960956
19,0.1066180251517616
18,0.0997165818635386
17,0.0924897479594151
16,0.0849147870981947
15,0.0774663335226233
14,0.0700309157686778
13,0.0634602616422737
12,0.0568374232174861
11,0.0514565852913446
10,0.0468645379757663
9,0.0440504874367515
8,0.0431491961097045
7,0.0438339673719627
6,0.0469770914632772
5,0.0533113510497036
4,0.0647572523666999
3,0.0864437792707215
2,0.1329592615726698
1,0.2630736243622835
