rank,mse
400,0.0144176369867941
391,0.0144176369449149
382,0.0144176369449149
373,0.0144176369449149
364,0.0144176369449149
356,0.0144176369449149
348,0.0144176369449149
340,0.0144176369449149
332,0.0144176369449149
324,0.0144176369449151
317,0.0144176369449153
309,0.0144176369449151
302,0.0144176369449151
295,0.0144176369449149
288,0.0144176369449149
282,0.0144176369449149
275,0.0144176369449151
269,0.0144176369449151
262,0.0144176369449149
256,0.0144176369449149
250,0.0144176369449149
245,0.0144176369449149
239,0.0144176369449149
233,0.0144176369449149
228,0.0144176369449149
223,0.0144176369449149
218,0.0144176369449149
213,0.0144176654317003
208,0.0144217019632211
203,0.0144334829382213
198,0.0144511009504311
194,0.0144688240414472
189,0.0144929494810734
185,0.0145169287985571
180,0.0145444957207097
176,0.0145628248366671
172,0.0145880681036383
168,0.0146065944271398
164,0.0146228071908738
161,0.0146331095778093
157,0.0146407243701476
153,0.0146422153532546
150,0.0146338069929539
146,0.014630788586841
143,0.0146241825742652
140,0.0146086585275027
136,0.0145779558720555
133,0.0145366849881356
130,0.0145187488399536
127,0.0144770378755785
124,0.0144231169727895
121,0.0143767502493048
118,0.0143180661671431
116,0.0142741772192891
113,0.0141970860162246
110,0.0141101517940849
108,0.0140487948369636
105,0.0139543291090449
103,0.0138818613466782
101,0.0138074500186846
98,0.0136876174671185
96,0.0135977928221859
94,0.0135081731743569
92,0.0134132671604652
89,0.0132611918383136
87,0.0131511749208161
85,0.0130367117751661
83,0.0129173278691037
81,0.0127901439695907
80,0.0127252740990095
78,0.012592091717869
76,0.0124475453530688
74,0.0123061983396139
72,0.0121586737100769
71,0.0120778925541802
69,0.0119178875532308
68,0.0118424478150309
66,0.0116823539358834
64,0.0115082583208452
63,0.0114257240530371
62,0.0113410048352686
60,0.0111594639601746
59,0.0110687830752445
57,0.0108780973511268
56,0.0107800685964922
55,0.0106814545359239
53,0.0104792816447083
52,0.010377613567283
51,0.0102725968108008
50,0.0101689964889915
49,0.0100604097781835
48,0.009956639806893
46,0.0097374182259837
45,0.009626703981739
44,0.0095175115095342
43,0.0094031591798151
42,0.0092880523299117
41,0.0091790038718906
40,0.0090747139336953
39,0.0089730679310724
38,0.0088619375179908
37,0.0087440443053243
36,0.0086464113921951
35,0.008539304287962
34,0.0084355769281374
33,0.0083377254820586
32,0.0082439563163438
31,0.0081684536189794
30,0.0080960399842946
29,0.0080329994738113
28,0.0079848526337018
27,0.0079542815057724
26,0.0079279330199686
25,0.007933561604219
24,0.007971166406294
23,0.0080459080167962
22,0.0081481420964319
21,0.0083017450871656
20,0.0084904710190318
19,0.0087372927134554
18,0.0090531966676881
17,0.0094240866491297
16,0.0098969674365185
15,0.0104761917925217
14,0.0111886876566342
13,0.012065059768721
12,0.0131503916695534
11,0.0145081718309496
10,0.016243070355161
9,0.0184787873585745
8,0.0214279467291576
7,0.0254303317294695
6,0.0310768084732355
5,0.0394331724078542
4,0.0526673399065307
3,0.0758701110095445
2,0.12361020364382
1,0.2552736208998749
