rank,mse_mean,mse_std
1,0.7724012298583984,0.0014864176069711
2,0.6802262344360351,0.0015134577092242
3,0.6270369644165038,0.0022247712917187
4,0.5937559776306153,0.001878970355518
5,0.5743071212768556,0.0020052092043963
6,0.5609428367614747,0.0034640527812693
8,0.551783405303955,0.0045851390312423
11,0.5526601181030274,0.0033577811987911
14,0.567884033203125,0.001231160799804
18,0.5781196212768556,0.0058984218863748
23,0.5836693191528319,0.0040803195910221
29,0.5781819610595703,0.0027876434435794
37,0.5545998992919922,0.0043709860740148
48,0.516614128112793,0.0036066618418625
61,0.4782747421264648,0.0028836500898018
78,0.4425351791381836,0.0030710664011739
100,0.4241831283569336,0.0018615257040673
141,0.4241029357910156,0.0024945830036479
200,0.4216790161132812,0.0028489399733909
282,0.4236215744018555,0.001457643604988
400,0.4226305160522461,0.0030882929500295
