rank,mse_mean,mse_std
800.0,0.0549953174591064,0.0006498432159423
512.0,0.0551902747154235,4.597902297973771e-05
328.0,0.0543156337738037,0.0003723049163818
210.0,0.0547732686996459,0.0002728939056396
135.0,0.0547052645683288,0.0002190995216369
86.0,0.0637135744094848,0.0010326051712036
55.0,0.0822153902053833,0.0013493299484252
35.0,0.0724490761756896,0.0009889101982116
23.0,0.0480100274085998,0.000531108379364
14.0,0.0300056207180023,0.0009032452106475
9.0,0.0289125001430511,6.704688072204507e-05
6.0,0.0388178288936615,1.66058540344155e-06
4.0,0.0584866189956665,3.381729125976479e-05
2.0,0.1285794448852539,0.0003035926818847
1.0,0.2596544456481933,0.0002596855163574
