rank,mse_mean,mse_std
1,0.7844558410644531,0.0029436480866097
2,0.7082433319091798,0.0031794448778353
3,0.6781287384033202,0.0048062098874481
4,0.6660148010253906,0.0081539476510321
5,0.6663041076660157,0.0068174063584371
6,0.6834061584472656,0.0059903763793521
8,0.7278238677978516,0.0105172832405281
11,0.8074760894775391,0.0124805073858388
14,0.8908778533935546,0.0136637651633054
18,0.9662307739257812,0.0108868604937773
23,1.0579481201171874,0.008881332384838
29,1.1197570800781251,0.013352763082941
37,1.120121032714844,0.0109087739320195
48,1.0539835052490234,0.0138509745011461
61,0.9231273345947264,0.0104540653090714
78,0.8185712890625,0.0049864864165948
100,0.7328725280761719,0.0057901152513519
141,0.7170289916992187,0.0038047548991603
200,0.7161882781982422,0.0036612622327078
282,0.7166861724853516,0.0072170724396753
400,0.7131672668457032,0.0050211214587623
