n,mse
64000000,0.0003169062532477
58237490,0.0003214008920493
52993832,0.0003263435731242
48222309,0.0003317732561263
43880410,0.000337734431395
39929452,0.0003442924186976
36334236,0.0003515065924009
33062730,0.0003594307508008
30085788,0.0003681397634676
27376887,0.0003776975657268
24911893,0.0003881794155176
22668846,0.0003996868364533
20627761,0.0004123019184492
18770454,0.0004261127219924
17080377,0.0004412651504122
15542473,0.000457963041343
14143041,0.0004761454103079
12869613,0.0004960112730911
11710843,0.0005177037294779
10656408,0.0005413977649395
9696913,0.000567245376011
8823811,0.0005955117435658
8029321,0.0006263366141021
7306368,0.0006600074787119
6648508,0.0006967075857049
6049882,0.0007366502426628
5505155,0.000780154490394
5009475,0.0008274373297534
4558426,0.0008789938089923
4147989,0.0009350304019069
3774507,0.0009960473613424
3434653,0.001062506819812
3125400,0.001134971772233
2843991,0.0012139433540305
2587920,0.0013001192783546
2354906,0.0013943123809718
2142872,0.0014973658686883
1949930,0.0016095848779207
1774359,0.0017320698384069
1614597,0.0018659210427716
1469220,0.0020122798168549
1336933,0.0021723243643294
1216556,0.0023474880739273
1107019,0.0025394808921617
1007343,0.0027502337852798
916643,0.0029814616469916
834109,0.0032354554453728
759007,0.0035146163421062
690666,0.0038220622773188
628479,0.0041608222448896
571891,0.0045346951045996
520399,0.0049479170634141
473542,0.0054052320109561
430905,0.005912149747737
392106,0.0064753936069681
356801,0.0071018007239029
324675,0.0077997001920078
295442,0.0085797067492654
268840,0.009452858791437
244634,0.0104331084322859
222607,0.0115367106233896
202564,0.0127836179147775
184325,0.01419790677905
167729,0.0158086135125083
152626,0.0176492047560017
138884,0.0197629589918952
126379,0.0222032214857905
115000,0.0250367519190064
104645,0.0283484622563432
95223,0.0322391148172311
86649,0.0368406383898496
78847,0.0423009636205238
71748,0.0487898082349762
65288,0.0564150019208582
59409,0.0653496631038648
54060,0.0751334476858025
49193,0.0846233097048916
44763,0.0911511445964186
40733,0.0920364749711357
37065,0.0874436376790475
33728,0.0803985798932176
30691,0.0736286278381559
27927,0.0683290394067075
25413,0.0647827783491983
23125,0.0627875030598483
21042,0.06175005641328
19148,0.0614816149658983
17424,0.0619783283432813
15855,0.0632088497134326
14427,0.0650937436967333
13128,0.0675991539684721
11946,0.0707934617077159
10870,0.0746748588555104
9892,0.0792481614697917
9001,0.084590732699354
8190,0.0907227917040784
7453,0.0976976558841831
6782,0.1055982882499768
6171,0.1145033241725783
5615,0.1245139564118602
5110,0.1357532838884083
4650,0.1482966130083642
4231,0.1623399819584903
3850,0.1779774436721664
3503,0.1953369334956816
3188,0.2144620472805669
2901,0.2355611962606381
2640,0.2587716074891919
2402,0.2842104731564538
2186,0.3117700648381529
1989,0.3416400927227641
1810,0.3736058052797
1647,0.4078228146106459
1498,0.4442408993442043
1363,0.4823745128196394
1241,0.5218627494393334
1129,0.5631848744657253
1027,0.6055471975394471
935,0.6480522844851168
850,0.6914615443169855
774,0.733599198396967
704,0.775158840193924
641,0.8143112908979898
583,0.8513857009699364
530,0.8853535958016481
483,0.9146829717802888
439,0.9407120488081552
400,0.9619059320834844
