n,mse_mean,mse_std
400.0,0.980979118347168,0.0016778182983398
728.0,0.962553939819336,0.0006444549560546
1325.0,0.8311658477783204,0.0048543548583984
2413.0,0.3779781532287598,0.0125620460510254
4394.0,0.1878448104858398,0.005149917602539
8000.0,0.1040470504760742,0.0017064952850341
14564.0,0.0705492043495178,0.0010049843788147
26515.0,0.0686895489692688,0.000273106098175
48273.0,0.0822506713867187,0.0005484199523925
87884.0,0.0370071148872375,0.0002352690696716
160000.0,0.0169353818893432,9.151577949523954e-05
291290.0,0.0087393522262573,6.670475006103488e-05
530312.0,0.0047711899876594,3.849238157272329e-05
965468.0,0.0027024525403976,1.2674927711486686e-05
1757696.0,0.0015649172663688,3.60056757926937e-06
3200000.0,0.000925458818674,2.551004290580745e-06
