rank,mse
1,0.7798423190655814
2,0.6961035639019065
3,0.6546133919788582
4,0.6341511729089933
5,0.6270333404693315
6,0.6323004865145209
7,0.6426494781948755
8,0.6578415308260157
9,0.6742082242789572
10,0.693144941074406
11,0.7118505078725069
12,0.7305182163493327
13,0.7476953201056132
14,0.7655802381618203
15,0.7833047101700593
16,0.7996200643960559
17,0.8157676092139824
18,0.8316264401283786
19,0.8452854165837618
20,0.8595958653422345
21,0.8711316773328668
22,0.8792898453202862
23,0.8884074833363251
24,0.8983321791591494
25,0.9045807770412586
26,0.9110155976975944
27,0.9159669460678156
28,0.9181469103678604
29,0.9213631111929463
30,0.9247615206420604
32,0.9292204652535077
33,0.9242214236082336
34,0.9271851823555411
35,0.9197973905399336
36,0.9195528098090621
38,0.9068875717379208
39,0.9060357513788204
40,0.8939083726369028
41,0.8824042991603149
42,0.883873793387647
44,0.8715472550560696
46,0.8567179003745832
48,0.8404112762570939
49,0.8307409565284836
50,0.8221017860723612
52,0.8105414076718075
55,0.7878945336705706
58,0.7683041856046788
59,0.7631613484599526
60,0.7547230823063324
62,0.7417726757394059
63,0.7361079432723996
66,0.717122383109062
69,0.7025984061238049
70,0.6981717292192924
72,0.6869296361412427
75,0.6743929951201926
76,0.6698263125780493
79,0.6589183408835292
83,0.6445327690798281
84,0.6423263641820456
87,0.6332305434915633
89,0.6291087974537823
91,0.6225954164422098
95,0.6150414348058517
100,0.6066633449175218
101,0.6058073523344785
107,0.6005924457325811
114,0.5982065608570046
121,0.5982045045945239
128,0.5982045045945239
136,0.5982045045945239
144,0.5982045045945239
153,0.5982045045945239
163,0.5982045045945239
173,0.5982045045945239
184,0.5982045045945239
195,0.5982045045945239
207,0.5982045045945239
220,0.5982045045945239
233,0.5982045045945239
248,0.5982045045945246
263,0.5982045045945246
279,0.5982045045945237
296,0.5982045045945237
315,0.5982045045945237
334,0.5982045045945239
355,0.5982045045945243
377,0.5982045045945237
400,0.5982045052971374
