n,mse_mean,mse_std
400.0,1.0444721603393554,0.0017826461791992
728.0,1.0374406814575194,0.0020270156860351
1325.0,0.8378739929199219,0.0382592773437499
2413.0,0.3967137908935547,0.0042148971557617
4394.0,0.2072347545623779,0.0036870670318603
8000.0,0.1293663072586059,0.0016753149032592
14564.0,0.1600229024887084,0.0002196741104125
26515.0,0.0724912619590759,0.0014694762229919
48273.0,0.0291139149665832,0.0001409745216369
87884.0,0.0140699100494384,0.0001285767555236
160000.0,0.0081502094864845,4.687219858169525e-05
291290.0,0.0056054258346557,7.899999618530325e-06
530312.0,0.004319689720869,8.040517568588205e-06
965468.0,0.0037436401844024,4.796385765075753e-06
1757696.0,0.0034188205003738,1.2062191963195955e-05
3200000.0,0.0032449907064437,2.0748376846314257e-06
