n,mse_mean,mse_std
400.0,1.1920980072021483,0.0112618255615234
728.0,1.2142799758911131,0.0186713790893554
1325.0,0.929031867980957,0.0311337661743164
2413.0,0.4698319053649902,0.0212480354309081
4394.0,0.4344813728332519,0.0025652885437011
8000.0,0.1408031797409057,0.0018016576766967
14564.0,0.0488885188102722,0.0004483771324157
26515.0,0.0288779973983764,7.292270660400405e-05
48273.0,0.0230092942714691,4.022479057312102e-05
87884.0,0.0199294251203537,3.948032855987521e-05
160000.0,0.0184620189666748,3.365993499755866e-05
291290.0,0.0177684080600738,4.690885543823936e-06
530312.0,0.017357388138771,2.8854608535768683e-06
965468.0,0.0171431916952133,8.913874626160709e-06
1757696.0,0.0170240867137908,2.992153167718365e-07
3200000.0,0.0169613248109817,1.0842084884644942e-06
