n,mse
64000000,0.0516107577704356
58237490,0.0516110178503994
52993832,0.0516113036609633
48222309,0.0516116177469987
43880410,0.0516119629050997
39929452,0.0516123422099807
36334236,0.0516127590400989
33062730,0.0516132171065191
30085788,0.0516137204888995
27376887,0.0516142736709583
24911893,0.0516148815782815
22668846,0.0516155496255521
20627761,0.0516162837614042
18770454,0.0516170905244743
17080377,0.0516179770995814
15542473,0.0516189513837646
14143041,0.051620022053572
12869613,0.0516211986445165
11710843,0.0516224916377736
10656408,0.0516239125488782
9696913,0.0516254740365611
8823811,0.0516271900080733
8029321,0.0516290757554545
7306368,0.0516311480713003
6648508,0.0516334254277517
6049882,0.0516359281117551
5505155,0.0516386784330924
5009475,0.0516417009007998
4558426,0.0516450224553721
4147989,0.0516486727126963
3774507,0.0516526842265434
3434653,0.0516570927713648
3125400,0.0516619376606897
2843991,0.0516672621541278
2587920,0.0516731137576347
2354906,0.0516795447022753
2142872,0.0516866124525667
1949930,0.0516943801202698
1774359,0.051702917231069
1614597,0.0517123000359303
1469220,0.0517226125172507
1336933,0.0517339469831359
1216556,0.0517464051267708
1107019,0.0517600983841073
1007343,0.0517751500419481
916643,0.051791694852334
834109,0.051809881898192
759007,0.0518298745923058
690666,0.0518518536790293
628479,0.051876016982822
571891,0.0519025832805073
520399,0.0519317925103144
473542,0.0519639110455341
430905,0.0519992292558593
392106,0.0520380707941146
356801,0.0520807889904191
324675,0.0521277755621372
295442,0.0521794617929944
268840,0.0522363275535555
244634,0.052298895231305
222607,0.0523677498662293
202564,0.0524435304763286
184325,0.0525269539641706
167729,0.052618800878188
152626,0.0527199566841065
138884,0.0528313720592361
126379,0.0529541317034305
115000,0.0530894252355131
104645,0.0532385888136184
95223,0.0534030814503863
86649,0.0535845678438668
78847,0.0537848818879682
71748,0.0540060641717488
65288,0.0542504408005304
59409,0.0545206273848737
54060,0.0548194733191667
49193,0.0551502647894601
44763,0.0555168459926567
40733,0.0559232265097939
37065,0.0563744035158786
33728,0.0568756442032183
30691,0.0574333953745398
27927,0.0580549154418412
25413,0.0587481293924889
23125,0.0595231024690918
21042,0.0603915181768315
19148,0.0613655666757981
17424,0.0624619620941746
15855,0.0636994528399153
14427,0.0651008705326878
13128,0.0666930281719198
11946,0.0685101434550459
10870,0.0705953531356176
9892,0.0729983319531337
9001,0.0757930099412755
8190,0.0790676394621183
7453,0.0829361109060971
6782,0.0875699325180001
6171,0.0932072254878808
5615,0.1001975018902459
5110,0.1090769905603823
4650,0.1208165679524815
4231,0.1372823135949024
3850,0.1629302879989851
3503,0.2116640055426977
3188,0.3175739679999456
2901,0.5076206107743619
2640,0.6646321000316395
2402,0.6665168592993098
2186,0.5990423288017246
1989,0.5570073177306527
1810,0.538077089034807
1647,0.5345570264988542
1498,0.5421240769810616
1363,0.5457485643410354
1241,0.5942152243881316
1129,0.6266163031521038
1027,0.6620639273527932
935,0.7039612061663018
850,0.742171779814944
774,0.7801295489767757
704,0.8192882334906864
641,0.858347358701921
583,0.8969926763159533
530,0.9326637341122712
483,0.962289058227202
439,0.9871466472561452
400,1.005672986062993
