rank,mse_mean,mse_std
800.0,0.0285930347442626,0.0006370687484741
512.0,0.0288688743114471,0.0002427613735198
328.0,0.0282023048400878,0.0003709888458251
210.0,0.0287767541408538,0.0002323329448699
135.0,0.0288303291797637,8.368611335754332e-05
86.0,0.025964388847351,0.0002357149124145
55.0,0.0208107471466064,9.50002670288084e-05
35.0,0.0154287070035934,3.428399562835707e-05
23.0,0.011979135274887,2.58362293243412e-05
14.0,0.0133418518304824,6.358563899993945e-05
9.0,0.0197492915391922,1.495540142059347e-05
6.0,0.0321474111080169,3.285765647887892e-05
4.0,0.0535194754600524,5.7103633880613985e-05
2.0,0.1242962312698364,8.59117507934562e-05
1.0,0.2559319591522216,4.771232604980358e-05
